source,target,direction,origin
La chanteuse Malienne Oumou Sangaré vient d’envoyer un message assez poignant à travers un courrier officiel,Mali hadzila Oumou Sangaré wɔnyanya nana vevie aɖe to agblẽ ŋɔŋlɔ me.,fra-ewe,mafand
"""""""Certes, la CEDEAO, face aux défis sécuritaires actuels, mene des missions d'envergure pour la résolution de conflits et le maintien de la paix dans la région""",kple dudɔwɔla siwo kpɔa fiahadɔwɔlawo gaɖunyawo gbɔe,fra-ewe,afrolingu
"J'ai pris une douche et je n'ai pu dormir que vers 4h,",mele tsi eye me dɔ̃ alɔ̃ le fɔŋli ga ene me,fra-ewe,afrolingu
"ne tɔ́wo ɖee wodi la, akpe ɖe ŋunye mage ɖe eƒe ƒome, denunya kple xɔse me","Ton père, s’il l’avait voulu, aurait pu m’aider à m’intégrer à sa famille, à sa culture et à ses traditions",ewe-fra,afrolingu
"Tout le monde peut faire des erreurs, cela ne signifie pas forcement qu’un tel est foncièrement mauvais",me amevɔ̃ koe wɔa nu baɖa o,fra-ewe,afrolingu
"Les commentaires, quant à eux, sont déjà très nombreux",Nudodo vavã megale ƒome aɖewo me o ɖe alɔmekaƒomɔwo ta.,fra-ewe,mafand
"Pour les dissidents qui ne vivent pas sur son territoire, le roi préfère se servir de la menace","ke tsitretsila siwo mele dua me ola, fia dɔa vɔvɔ nawoe",fra-ewe,afrolingu
– Mais quel genre d’être humain mange de la pizza avec de l’ananas,"õ, ame ƒomevi kae ɖua pizza kple atɔtɔ maha?",fra-ewe,afrolingu
eye be miakpɔ nyui ne mietsɔ miaƒe nuwo le dadam ɖe agbã na eƒe kpɔkpɔ,"3- Essayez de faire aussi attention que possible lorsque vous mettez vos affaires dans les bacs pour le contrôle,",ewe-fra,afrolingu
Togo : Le sujet principal du Conseil des ministres de ce mardi 22 septembre,Togo: Nyati vevitɔ sinɔ dudɔnunɔlawo takpekpea me egbe anyɔnyɔ 22 liae nye.,fra-ewe,mafand
dɔwɔɖoɖoa be ɖoɖo sia ana be wotɔ kpɔtɔtɔmedede ame siwo le du aɖewo me dem lae,"Selon l’organisme, ces précautions permettraient notamment de mettre fin aux quarantaines imposées par certains pays lors de l’arrivée sur le territoire",ewe-fra,afrolingu
"J'ai adoré contribuer à l'enregistrement audio du numéro d'Avril,",melɔ̃ gome kpɔkpɔ le afɔfiɛ ƒe kasɛti lele me,fra-ewe,afrolingu
"le nɔnɔmetata me la,amesiwo kua adzame mɔzɔlawo la xɔ ga kplewoƒe nunɔamesi siwo katã le wosi la","""""""Dans le documentaire """"« Traversée clandestine"""" """"» diffusé, non content de facturer 000 euros par passager, les passeurs les ont dépouillés du peu d'argent qui leur restait sous la menace. """"""",ewe-fra,afrolingu
Matt Pokora ne reviendra plus dans The Voice en qualité de coach vocal,Egblɔ dzogbevɔẽ si dzɔ ɖe Kitty Genovese dzi esime wotɔ hɛe le eƒe kɔme le kɔmetɔ siwo nɔ ekpɔm to flesre la ŋku me.,fra-ewe,mafand
"Il tirait sur tout ce qui bouge, au vu et au su de tous",Edzi asi nyɔnu ɖe sia ɖe le gaglãgbe,fra-ewe,afrolingu
Edo age abe 300 ene eyata eƒe ŋkɔ gali ɖaa le ha sesẽ sia me.,"Près de 300 buts plus tard, sa légende reste intacte au sein d’une des écuries les plus exigeantes du monde",ewe-fra,mafand
Enu ma ye mele be woawɔ o.,C’était ce qu’il ne fallait pas faire.,ewe-fra,afrolingu
"Samsung wɔ kaƒoƒomɔɖoɖo aɖe na aɖetututɔwo, ŋkunɔwo kple tokuwo. Mekpɔe zã ga eve","Aux environs de 2h du matin aujourd’hui, j’ai regardé une vidéo de Samsung qui a créé une application pour les personnes sourdes, muettes et aveugles",ewe-fra,afrolingu
"Mais même le voile qui ne couvre pas le visage dérange,",gake tablanu si metsɔ ŋukume o la doa nuƒo nam,fra-ewe,afrolingu
Hamad do ɖetiwu blɔ aɖe kple afimadede dzɔ̃gli kple dãmɖui yibɔ aɖe,"Hamad portait un polo bleu marine sur un jean gris, et des baskets noires",ewe-fra,afrolingu
